date,open,high,low,close,volume_base,quote_volume_usd,number_of_trades,taker_buy_base,taker_buy_quote,binance_symbol
2022-10-19,1.0,100.0,1.0,7.3207,67602698.77,560881616.024708,1158941,31458891.59,259465636.07261,APTUSDT
2022-10-20,7.3219,7.748,6.9,7.3685,17974526.96,132325524.168422,188971,8566428.04,63115467.288074,APTUSDT
2022-10-21,7.3691,7.7,6.99,7.498,16533981.69,121652117.159381,174817,7903600.97,58154776.843684,APTUSDT
2022-10-22,7.498,9.3152,7.3411,8.9553,22408625.29,188041772.350446,346144,11089746.43,92991678.243794,APTUSDT
2022-10-23,8.9571,10.33,8.8806,9.7815,31410439.72,301336681.627712,505972,15603773.61,149742898.136749,APTUSDT
2022-10-24,9.7808,9.968,9.2354,9.5293,20840808.03,199996613.18493,285262,10491814.85,100688930.234388,APTUSDT
2022-10-25,9.5298,9.568,8.5202,8.7863,20968485.45,190224236.212979,290987,9564583.99,86844296.513063,APTUSDT
2022-10-26,8.7833,9.2863,8.6061,9.1951,15721495.42,140944560.411819,264454,7461057.7,66916136.52343,APTUSDT
2022-10-27,9.1911,9.6387,8.6,8.7013,16118633.7,148230322.632955,303669,7587901.14,69866453.677143,APTUSDT
2022-10-28,8.7015,8.8264,7.9337,8.1845,15606321.18,128260993.760307,278151,7427014.72,61011350.568034,APTUSDT
2022-10-29,8.1827,8.3692,7.592,7.9532,13416201.68,108126901.649584,266125,6568049.68,52950343.714937,APTUSDT
2022-10-30,7.958,8.38,7.6026,7.8049,11858055.96,93981296.360612,240045,5787841.3,45898843.612161,APTUSDT
2022-10-31,7.8015,8.2211,7.7,7.9439,9139206.43,72342830.273503,169264,4375593.35,34641754.573853,APTUSDT
2022-11-01,7.9337,8.315,7.815,8.1925,9092526.88,73528929.179395,180902,4643795.15,37577465.585448,APTUSDT
2022-11-02,8.1935,8.211,7.1259,7.3707,14872782.25,111856634.566926,267691,6539190.35,49134066.70409,APTUSDT
2022-11-03,7.3745,7.5635,7.1659,7.2328,6315233.43,46599481.795157,112882,2987389.49,22049138.075308,APTUSDT
2022-11-04,7.2328,7.79,7.16,7.6532,8633378.03,64066747.623615,157776,4237589.33,31459230.565084,APTUSDT
2022-11-05,7.6527,7.998,7.5161,7.6249,9131990.09,70555719.135852,162185,4599930.73,35552120.024926,APTUSDT
2022-11-06,7.6215,8.2321,7.23,7.3095,13277982.14,104301733.868841,243285,6555425.42,51557899.681298,APTUSDT
2022-11-07,7.3095,7.4586,6.8,7.0006,9960991.0,70873523.463191,160943,4831990.31,34403137.271662,APTUSDT
2022-11-08,7.0,7.0228,4.5,5.3762,23314806.13,138904454.82566,368167,11202614.04,67010048.924567,APTUSDT
2022-11-09,5.3737,5.39,3.4356,3.9626,27117956.79,117726569.642824,399533,13096829.67,57052487.851788,APTUSDT
2022-11-10,3.9682,5.5,3.8572,5.1534,23161152.79,107442221.207451,290205,11437423.76,52964264.424302,APTUSDT
2022-11-11,5.1507,5.3446,4.5,5.1841,13615834.03,67128482.6819,224546,6498290.1,32065564.068481,APTUSDT
2022-11-12,5.1775,5.1839,4.4276,4.5473,6845305.29,32178820.799477,137380,3238418.53,15229263.215919,APTUSDT
2022-11-13,4.5442,4.6194,4.1201,4.2196,7360914.52,31834057.483211,133359,3539082.15,15302960.712674,APTUSDT
2022-11-14,4.219,4.5106,3.7708,4.1925,10570819.78,43673465.201147,170529,5334454.04,22013091.490115,APTUSDT
2022-11-15,4.1917,4.72,4.111,4.3346,9332444.72,41122216.533003,140247,4635373.78,20423195.740603,APTUSDT
2022-11-16,4.3363,4.9688,4.1575,4.5005,14922210.89,67879884.299598,225637,7612206.74,34635296.256427,APTUSDT
2022-11-17,4.5007,4.85,4.3413,4.6604,12744677.28,58736602.006252,182225,6400155.98,29498196.676372,APTUSDT
2022-11-18,4.6597,4.94,4.5348,4.7177,7369507.15,34878142.017731,107059,3617524.6,17127362.257684,APTUSDT
2022-11-19,4.72,4.7735,4.5,4.6226,3806479.07,17573574.230826,60621,1774764.35,8197017.483284,APTUSDT
2022-11-20,4.6228,4.6358,4.025,4.1024,4788160.75,20803952.191089,72360,2274102.51,9879075.182642,APTUSDT
2022-11-21,4.1011,4.1507,3.87,4.0637,7484136.08,30186317.699677,93661,3706355.03,14955856.99094,APTUSDT
2022-11-22,4.0649,4.5221,3.8563,4.3163,7456384.5,31199543.858554,93898,3714570.1,15558887.971521,APTUSDT
2022-11-23,4.3164,4.6,4.2436,4.443,6258534.24,27662371.268697,79359,3115055.73,13769933.27911,APTUSDT
2022-11-24,4.4435,4.7479,4.2255,4.4382,7099049.99,31580666.044208,92996,3450960.47,15347303.591912,APTUSDT
2022-11-25,4.438,4.5547,4.2544,4.4259,4717623.28,20697858.281078,63776,2256815.59,9905464.487729,APTUSDT
2022-11-26,4.4289,5.0486,4.4059,4.7686,10233771.92,49159277.950678,163462,5373631.93,25820387.377266,APTUSDT
2022-11-27,4.7666,5.03,4.6216,4.7944,6553901.77,31198072.856781,103837,3081401.02,14672987.530827,APTUSDT
