date,open,high,low,close,volume_base,quote_volume_usd,number_of_trades,taker_buy_base,taker_buy_quote,binance_symbol
2021-11-10,43.66,120.0,43.66,73.82,6140557.61,424098906.417,751060,2899689.45,201549745.6962,ENSUSDT
2021-11-11,73.87,86.76,55.06,55.31,3948818.81,271878388.0788,510570,1923142.17,132943057.2685,ENSUSDT
2021-11-12,55.38,64.94,50.0,54.65,2126466.36,119756579.5016,236262,1007412.42,56942238.78,ENSUSDT
2021-11-13,54.6,63.58,48.0,55.57,2193469.09,121128444.3997,221380,986397.73,54793686.509,ENSUSDT
2021-11-14,55.58,62.49,53.2,56.21,1322151.69,76963807.4285,135747,597455.0,34878710.9392,ENSUSDT
2021-11-15,56.22,60.15,50.05,55.77,1803171.58,99603816.3613,149028,875697.92,48525490.452,ENSUSDT
2021-11-16,55.75,55.94,47.91,48.17,1789182.35,93185599.4754,143078,796666.85,41536838.2831,ENSUSDT
2021-11-17,48.21,50.6,45.45,48.16,1310706.19,62845090.2444,99826,648709.7,31130082.1109,ENSUSDT
2021-11-18,48.14,50.94,40.05,41.31,1438354.24,64980369.5481,98232,703501.05,31775038.6075,ENSUSDT
2021-11-19,41.33,51.2,38.39,47.84,1513024.78,68763131.3983,111725,745977.89,33996840.007,ENSUSDT
2021-11-20,47.8,49.69,44.51,46.78,832173.96,38884512.3037,57784,382966.13,17903028.1721,ENSUSDT
2021-11-21,46.78,46.83,41.39,42.06,983085.28,42891429.2562,74144,470132.15,20492132.4292,ENSUSDT
2021-11-22,42.06,47.13,39.86,40.97,1534197.42,65617611.4486,106835,739243.21,31640791.6177,ENSUSDT
2021-11-23,40.92,53.0,40.46,50.8,2288542.92,106124696.1951,187641,1158394.6,53611080.9511,ENSUSDT
2021-11-24,50.8,51.21,45.84,49.17,1153521.29,55557090.3392,98297,553775.11,26703710.1771,ENSUSDT
2021-11-25,49.22,73.0,48.3,68.31,4015128.37,250707516.1615,454531,2041193.44,127287782.8216,ENSUSDT
2021-11-26,68.24,77.0,55.1,59.51,3708353.65,239987848.834,356583,1677368.03,109185817.5928,ENSUSDT
2021-11-27,59.52,84.0,59.1,73.45,3728749.65,280338178.3114,395876,1882756.59,141656168.9043,ENSUSDT
2021-11-28,73.45,76.69,65.0,76.15,2685887.3,191375756.3946,268154,1282741.31,91714827.5214,ENSUSDT
2021-11-29,76.14,82.75,69.5,70.21,2039843.68,153506361.8071,209682,996734.67,75259195.848,ENSUSDT
2021-11-30,70.21,78.12,66.0,69.93,1633783.32,116387008.4159,203847,812769.7,57988638.5669,ENSUSDT
2021-12-01,69.98,74.91,63.21,64.81,1591713.0,108428444.895,178944,777150.14,53011379.4826,ENSUSDT
2021-12-02,64.81,64.84,58.5,61.67,1133043.63,69395071.1058,132302,566934.07,34711757.7508,ENSUSDT
2021-12-03,61.68,63.29,50.0,54.24,1543989.9,87538378.4533,171498,749934.92,42488897.7552,ENSUSDT
2021-12-04,54.29,54.93,39.0,50.81,2239096.3,105468773.3367,218462,1053014.55,49989181.6735,ENSUSDT
2021-12-05,50.79,54.74,45.47,49.3,1630663.11,81570830.0702,167752,823347.74,41163443.3601,ENSUSDT
2021-12-06,49.34,51.5,42.0,51.42,1355959.12,62909793.2434,135301,670110.43,31090359.3372,ENSUSDT
2021-12-07,51.46,53.99,48.62,50.69,962952.66,49054177.6835,98011,461983.94,23583895.6032,ENSUSDT
2021-12-08,50.72,52.43,47.0,49.36,640059.23,31874201.4993,77926,300770.98,15023375.4634,ENSUSDT
2021-12-09,49.37,50.72,44.69,44.97,801079.22,38039897.8872,75954,359548.81,17101707.1854,ENSUSDT
2021-12-10,44.97,46.8,42.5,42.61,622039.94,27832051.6695,66461,272868.93,12237685.6732,ENSUSDT
2021-12-11,42.6,49.28,41.55,47.48,1038286.43,47176830.7497,109428,522414.94,23782729.4039,ENSUSDT
2021-12-12,47.46,48.07,44.11,47.06,700533.61,32201985.9748,71464,349348.32,16066202.8267,ENSUSDT
2021-12-13,47.07,47.1,39.36,39.96,820821.19,34884671.945,73371,370838.86,15756755.6108,ENSUSDT
2021-12-14,39.99,41.71,37.74,39.85,914632.04,36437400.4004,73324,460103.41,18274623.0732,ENSUSDT
2021-12-15,39.87,44.48,37.12,42.48,1048199.34,42616948.106,104688,517268.03,21082406.3855,ENSUSDT
2021-12-16,42.43,48.01,42.27,44.34,1315758.83,59551584.7794,137418,649495.03,29399157.7451,ENSUSDT
2021-12-17,44.34,46.66,40.15,42.18,1029710.85,44405092.1508,110323,484101.75,20974905.5072,ENSUSDT
2021-12-18,42.15,44.5,40.58,42.62,523812.15,22221278.9704,51972,267703.92,11383745.8162,ENSUSDT
2021-12-19,42.64,43.76,40.58,40.86,531596.32,22291454.2107,45545,252336.4,10597353.3551,ENSUSDT
2021-12-20,40.82,41.64,37.31,40.39,858980.89,33885245.5388,74637,418315.82,16509018.6787,ENSUSDT
2021-12-21,40.43,42.13,39.69,40.95,590775.71,24293984.7021,53799,304276.19,12517769.0389,ENSUSDT
2021-12-22,40.94,46.18,40.71,45.14,1020491.02,44551217.9158,99006,504802.17,22042073.7934,ENSUSDT
2021-12-23,45.09,49.8,42.73,49.51,1182622.63,54628816.7134,119133,599325.04,27743204.0775,ENSUSDT
2021-12-24,49.52,49.59,44.7,45.65,626372.08,29602884.308,59856,285565.44,13516188.4956,ENSUSDT
2021-12-25,45.7,48.18,44.88,46.43,657278.89,30310470.629,54193,314224.2,14494784.9066,ENSUSDT
2021-12-26,46.41,47.0,43.51,45.66,573457.94,26057967.3039,53432,267018.32,12149505.5637,ENSUSDT
2021-12-27,45.67,48.19,44.12,44.41,667074.9,30804622.3233,59667,328402.78,15174390.1228,ENSUSDT
2021-12-28,44.42,44.44,39.0,39.7,1040937.09,43306485.1549,95985,479128.34,19965456.6981,ENSUSDT
2021-12-29,39.7,40.84,37.82,38.59,585878.14,22967547.5316,55275,268051.29,10521450.968,ENSUSDT
2021-12-30,38.6,41.0,38.0,39.06,612443.36,24182244.3149,56783,313062.61,12378570.3246,ENSUSDT
2021-12-31,39.08,41.87,38.19,38.93,578761.88,23240585.4545,54929,285943.92,11507681.5929,ENSUSDT
2022-01-01,38.96,40.4,38.72,40.18,430582.9,17056409.2478,34870,212602.48,8429458.8328,ENSUSDT
2022-01-02,40.19,41.72,39.53,41.05,433126.06,17545576.7009,39277,218067.48,8836050.2365,ENSUSDT
2022-01-03,41.06,41.14,38.38,39.26,513629.03,20360101.5078,38762,222137.11,8812907.9226,ENSUSDT
2022-01-04,39.27,41.64,38.43,38.69,629134.2,25070972.5291,54941,287108.0,11450532.4824,ENSUSDT
2022-01-05,38.7,39.95,31.41,33.78,1055464.54,38977536.6792,93682,440239.6,16308029.9742,ENSUSDT
2022-01-06,33.8,34.48,31.5,33.16,1036757.75,34204307.4928,74199,505121.41,16660090.5545,ENSUSDT
2022-01-07,33.14,33.23,28.25,30.03,1461963.36,43904488.4739,97348,639318.98,19186475.8064,ENSUSDT
2022-01-08,30.05,30.86,26.43,27.74,967323.19,27601704.6719,66205,464658.42,13279802.3226,ENSUSDT
2022-01-09,27.73,29.53,26.92,28.01,684215.86,19315857.3406,46921,359649.84,10149840.3528,ENSUSDT
2022-01-10,28.01,28.75,24.41,25.38,1017945.01,26646341.0209,69490,464915.95,12192159.6842,ENSUSDT
